t,cpu_11395,rss_mib_11395,cpu_11351,rss_mib_11351,rx_mbit_s,tx_mbit_s
3944.4,31.89,60.1,0.00,50.8,163.82,0.40
3945.4,31.90,60.1,0.00,50.8,164.00,0.56
3946.4,31.89,60.1,1.00,50.8,163.96,68487.22
3947.4,31.91,60.1,0.00,50.8,163.98,0.41
3948.4,32.90,60.1,1.00,50.8,164.10,0.59
3949.4,31.91,60.1,1.00,50.8,164.00,0.75
3950.4,29.91,60.1,0.00,50.8,164.04,0.40
3951.4,31.91,60.1,1.00,50.8,164.09,0.61
3952.4,32.97,60.1,0.00,50.8,164.59,68648.91
3953.4,30.91,60.1,0.00,50.8,164.04,0.41
3954.4,32.91,60.1,1.00,50.8,164.11,0.60
3955.4,32.91,60.1,1.00,50.8,163.95,0.77
3956.4,31.91,60.1,1.00,50.8,164.02,0.41
3957.4,30.91,60.1,0.00,50.8,164.25,68523.03
3958.4,34.90,60.1,1.00,50.8,164.06,0.73
3959.4,32.90,60.1,0.00,50.8,164.21,0.42
3960.4,32.89,60.1,1.00,50.8,164.29,0.59
3961.4,32.91,60.1,0.00,50.8,164.12,0.74
3962.4,32.91,60.1,1.00,50.8,164.15,0.43
3963.4,30.91,60.1,1.00,50.8,164.21,68522.03
3964.4,32.90,60.1,1.00,50.8,163.67,0.77
3965.4,31.91,60.1,0.00,50.8,163.22,0.42
3966.4,31.90,60.1,1.00,50.8,162.57,0.59
3967.4,31.91,60.1,0.00,50.8,162.56,0.76
3968.4,27.92,60.1,1.00,50.8,163.48,68522.30
3969.4,33.90,60.3,1.00,50.8,167.40,0.59
3970.4,32.90,60.4,0.00,50.8,166.68,0.77
3971.4,32.90,60.5,0.00,50.8,165.45,0.41
3972.4,31.91,60.8,1.00,50.8,166.50,0.61
3973.4,29.91,63.3,0.00,50.8,168.09,68522.19
3974.4,33.89,63.6,1.00,50.8,164.35,0.41
3975.4,32.89,63.9,1.00,50.8,164.12,0.59
3976.4,32.90,66.5,0.00,50.8,164.21,0.75
3977.4,31.90,66.8,1.00,50.8,164.32,0.40
3978.5,32.90,66.1,0.00,50.8,164.22,0.59
3979.5,31.90,62.9,0.00,50.8,164.23,68502.35
3980.5,33.89,60.1,1.00,50.8,164.09,0.41
3981.5,32.90,60.1,0.00,50.8,164.18,0.60
3982.5,33.90,60.1,1.99,50.8,164.37,0.75
